"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","G_S_TYPE_CODE","G_S_ANGLE","G_S_FREQ"
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","OPERATIONAL IFR","1991/07/25",33,35,1.8307,"N",33.58384186,85,51,55.9432,"W",-85.86553977,"T",590.5,"GS",3,332.9
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","OPERATIONAL IFR","2007/05/21",32,36,27.9,"N",32.60775,85,26,7.66,"W",-85.43546111,"F",736,"GS",3,334.4
"2026/02/19","00157.1","A","AL","EKY","BESSEMER","US","05","EKY","LD","OPERATIONAL RESTRICTED","2017/08/10",33,18,32.526,"N",33.309035,86,55,50.5481,"W",-86.9307078,"Z",696.5,"GS",3,333.35
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","06","BHM","LS","OPERATIONAL IFR","1980/12/24",33,33,26.2813,"N",33.55730036,86,46,10.4888,"W",-86.76958022,"T",599.3,"GS",3,335
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","24","ROE","LD","OPERATIONAL RESTRICTED","2017/07/27",33,34,13.5726,"N",33.57043683,86,44,46.7455,"W",-86.74631819,"T",627.6,"GS",3,332.6
"2026/02/19","00251.","A","AL","DCU","DECATUR","US","18","DCU","LD","OPERATIONAL IFR","2010/10/12",34,39,36.32,"N",34.66008888,86,56,39.32,"W",-86.94425555,"F",585,"GD",3,329.45
"2026/02/19","00267.","A","AL","DHN","DOTHAN","US","14","ODA","LD","OPERATIONAL IFR","2008/03/11",31,19,44.976,"N",31.32916,85,27,31.0373,"W",-85.45862147,"T",395.3,"GS",3,330.05
"2026/02/19","00267.","A","AL","DHN","DOTHAN","US","32","DHN","LS","OPERATIONAL IFR","1972/08/18",31,19,2.2423,"N",31.31728952,85,26,39.531,"W",-85.44431416,"T",370.6,"GS",3,334.1
"2026/02/19","00329.","A","AL","OZR","FORT RUCKER","US","06","OZR","LD","OPERATIONAL IFR","1901/01/01",31,16,16.18,"N",31.27116111,85,42,59.2,"W",-85.71644444,"M",293.2,"GS",2.7,333.2
"2026/02/19","00333.","A","AL","GAD","GADSDEN","US","24","GAD","LD","OPERATIONAL IFR","2011/07/18",33,58,23.7,"N",33.97325,86,5,0.12,"W",-86.08336666,"F",550.8,"GD",3,333.95
"2026/02/19","00359.7","A","AL","JKA","GULF SHORES","US","27","JKA","LD","OPERATIONAL IFR","2003/09/30",30,17,29.0979,"N",30.29141608,87,39,39.7322,"W",-87.66103672,"Z",11.4,"GD",3,330.2
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","18L","TVN","LS","OPERATIONAL IFR","1986/04/10",34,39,0.3297,"N",34.65009158,86,45,52.2964,"W",-86.76452677,"T",602.8,"GS",3,331.1
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","18R","HSV","LS","OPERATIONAL IFR","1967/11/10",34,38,59.4231,"N",34.64983975,86,47,0.5615,"W",-86.7834893,"T",622.8,"GS",3,332
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","36L","ELL","LD","OPERATIONAL IFR","1976/02/26",34,37,15.3252,"N",34.62092366,86,47,2.7846,"W",-86.78410683,"T",604.3,"GS",3,329.9
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","36R","JJC","LD","OPERATIONAL IFR","1980/01/01",34,37,44.17,"N",34.62893611,86,45,53.32,"W",-86.76481111,"F",583.5,"GS",3,332.45
"2026/02/19","00385.4","A","AL","MDQ","HUNTSVILLE","US","18","MDQ","LD","OPERATIONAL IFR","2007/03/16",34,51,58.4281,"N",34.86623002,86,33,31.5368,"W",-86.55876022,"T",723.7,"GS",3,333.05
"2026/02/19","00401.3","A","AL","JFX","JASPER","US","27","JFX","LD","OPERATIONAL IFR","1999/02/19",33,54,2.7228,"N",33.90075633,87,18,32.6408,"W",-87.30906688,"K",468.1,"GS",3,329.3
"2026/02/19","00437.","A","AL","BFM","MOBILE","US","32","RUJ","LD","OPERATIONAL IFR","1992/10/15",30,36,52.3477,"N",30.61454102,88,3,46.1969,"W",-88.06283247,"T",17.7,"GS",3,329.9
"2026/02/19","00438.","A","AL","MOB","MOBILE","US","15","MOB","LS","OPERATIONAL IFR","1979/11/15",30,42,2.21,"N",30.70061388,88,15,3.67,"W",-88.25101944,"F",209.4,"GS",3,333.8
"2026/02/19","00438.","A","AL","MOB","MOBILE","US","33","ATE","LS","OPERATIONAL RESTRICTED","1975/05/15",30,41,12.2398,"N",30.68673327,88,14,18.7897,"W",-88.23855269,"K",212.6,"GS",3,332.9
"2026/02/19","00446.","A","AL","MXF","MONTGOMERY","US","15","MXF","LS","OPERATIONAL IFR","1901/01/01",32,23,16.28,"N",32.38785555,86,22,20.87,"W",-86.37246388,"A",159.6,"GS",3,332
"2026/02/19","00447.","A","AL","MGM","MONTGOMERY","US","10","MGM","LS","OPERATIONAL IFR","1901/01/01",32,18,3.6607,"N",32.30101686,86,24,24.7689,"W",-86.40688025,"T",211.7,"GS",3,333.8
"2026/02/19","00447.","A","AL","MGM","MONTGOMERY","US","28","DLV","LS","OPERATIONAL IFR","1976/03/25",32,17,57.6899,"N",32.2993583,86,23,4.0769,"W",-86.3844658,"T",192.5,"GS",3,329.9
"2026/02/19","00455.","A","AL","MSL","MUSCLE SHOALS","US","30","MSL","LS","OPERATIONAL IFR","1974/12/12",34,44,37.5353,"N",34.7437598,87,35,58.3556,"W",-87.59954322,"T",547.5,"GS",3,333.2
"2026/02/19","00511.","A","AL","SEM","SELMA","US","33","SEM","LD","OPERATIONAL IFR","1992/10/15",32,20,11.8393,"N",32.33662202,86,59,0.6144,"W",-86.983504,"",160.3,"GS",3,329.6
"2026/02/19","00528.1","A","AL","ASN","TALLADEGA","US","04","ASN","LD","OPERATIONAL IFR","2011/04/28",33,33,51.43,"N",33.56428611,86,3,16.42,"W",-86.05456111,"F",508,"GD",3,333.65
"2026/02/19","00546.","A","AL","TOI","TROY","US","07","TOI","LD","OPERATIONAL RESTRICTED","2016/10/28",31,51,27.67,"N",31.85768611,86,1,26.67,"W",-86.024075,"T",383.1,"GS",3,329.3
"2026/02/19","00554.","A","AL","TCL","TUSCALOOSA","US","04","TCL","LD","OPERATIONAL IFR","1972/04/11",33,12,41.31,"N",33.211475,87,36,57.63,"W",-87.61600833,"F",148.7,"GS",3,331.4
"2026/02/19","00642.9","A","AZ","CGZ","CASA GRANDE","US","05","CGZ","LS","OPERATIONAL IFR","1984/04/12",32,57,10.8751,"N",32.95302086,111,46,21.4052,"W",-111.77261255,"K",1451.2,"GS",3,331.55
"2026/02/19","00674.","A","AZ","FLG","FLAGSTAFF","US","21","FLG","LG","OPERATIONAL RESTRICTED","2018/02/06",35,8,39.8891,"N",35.14441363,111,39,58.3592,"W",-111.66621088,"K",6998.6,"GS",3,329.6
"2026/02/19","00682.","A","AZ","FHU","FORT HUACHUCA SIERRA VISTA","US","26","FHU","LG","OPERATIONAL IFR","1992/08/20",31,35,11.4734,"N",31.58652038,110,19,53.6499,"W",-110.33156941,"T",4605.5,"GS",3,333.8
"2026/02/19","00692.25","A","AZ","LUF","GLENDALE","US","03R","LUF","LG","OPERATIONAL IFR","1975/10/09",33,31,47.7996,"N",33.52994433,112,23,19.3103,"W",-112.3886973,"A",1069.1,"GS",3,330.5
"2026/02/19","00692.25","A","AZ","LUF","GLENDALE","US","21L","EMJ","LG","OPERATIONAL IFR","2005/10/13",33,32,45.24,"N",33.5459,112,22,16.32,"W",-112.3712,"A",1082.8,"GS",3,330.8
"2026/02/19","00700.1","A","AZ","GCN","GRAND CANYON","US","03","GCN","LG","OPERATIONAL RESTRICTED","1983/11/24",35,56,44.49,"N",35.94569166,112,9,19.7046,"W",-112.1554735,"Z",6534.3,"GS",3,329.3
"2026/02/19","00753.","A","AZ","IWA","PHOENIX","US","30C","IWA","LG","OPERATIONAL IFR","1901/01/01",33,18,1.8599,"N",33.30051663,111,38,37.2255,"W",-111.64367375,"T",1376.5,"GS",3,334.25
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","07L","PHX","LD","OPERATIONAL IFR","1972/05/30",33,25,49.0529,"N",33.43029247,112,1,25.2134,"W",-112.02367038,"T",1106.5,"GS",3,332.9
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","07R","AHA","LD","OPERATIONAL IFR","2000/08/30",33,25,46.628,"N",33.42961888,112,1,25.0931,"W",-112.02363697,"T",1107.4,"GS",3,330.05
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","08","SYQ","LD","OPERATIONAL IFR","2001/08/08",33,26,29.6544,"N",33.44157066,112,1,24.6276,"W",-112.02350766,"T",1111.7,"GS",3,333.35
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","25L","RJG","LD","OPERATIONAL IFR","2000/08/30",33,25,40.9318,"N",33.42803661,112,0,16.8722,"W",-112.00468672,"T",1120.3,"GS",3,330.05
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","26","CWJ","LD","OPERATIONAL IFR","2001/08/08",33,26,29.603,"N",33.44155638,111,59,44.4331,"W",-111.99567586,"T",1129.1,"GS",3,333.35
"2026/02/19","00763.","A","AZ","PRC","PRESCOTT","US","21L","PRC","LD","OPERATIONAL IFR","1985/06/06",34,39,34.9551,"N",34.65970975,112,24,45.5349,"W",-112.41264858,"T",4959.8,"GS",3,329.9
"2026/02/19","00816.","A","AZ","TUS","TUCSON","US","12","TUS","LD","OPERATIONAL IFR","1987/07/30",32,7,14.7604,"N",32.12076677,110,56,48.0571,"W",-110.94668252,"T",2580.1,"GS",3,333.5
"2026/02/19","00817.","A","AZ","DMA","TUCSON","US","13","AFB","LG","OPERATIONAL IFR","2016/04/06",32,10,39.6051,"N",32.17766808,110,53,50.5355,"W",-110.89737097,"A",2594.3,"GS",3,332
"2026/02/19","00817.","A","AZ","DMA","TUCSON","US","31","DMA","LS","OPERATIONAL IFR","1966/12/29",32,9,15.893,"N",32.15441472,110,52,20.807,"W",-110.87244638,"A",2690.6,"GS",3,332
"2026/02/19","00818.","A","AZ","RYN","TUCSON","US","06R","IVI","LS","OPERATIONAL IFR","1980/10/30",32,8,30.1231,"N",32.14170086,111,10,36.6252,"W",-111.17684033,"T",2397.7,"GS",3,331.7
"2026/02/19","00841.","A","AZ","NYL","YUMA","US","21R","YUM","LS","OPERATIONAL IFR","1973/03/01",32,39,42.539,"N",32.66181638,114,36,10.284,"W",-114.60285666,"N",188.6,"GS",3,334.1
"2026/02/19","00886.39","A","AR","SUZ","BENTON","US","02","SUZ","LD","OPERATIONAL RESTRICTED","2018/02/09",34,35,10.4817,"N",34.58624491,92,28,48.7302,"W",-92.48020283,"T",373.7,"GS",3,330.95
"2026/02/19","00901.","A","AR","BYH","BLYTHEVILLE","US","18","BYH","LD","OPERATIONAL IFR","1993/11/11",35,58,38.631,"N",35.9773975,89,56,32.15,"W",-89.94226388,"K",248.9,"GS",3,335
"2026/02/19","00964.","A","AR","ELD","EL DORADO","US","22","ELD","LD","OPERATIONAL IFR","1995/08/17",33,13,31.0487,"N",33.2252913,92,48,24.1099,"W",-92.80669719,"K",253.7,"GS",3,331.7
"2026/02/19","00975.","A","AR","FYV","FAYETTEVILLE","US","34","LFH","DD","OPERATIONAL IFR","2000/03/02",35,59,58.7538,"N",35.99965383,94,10,4.9017,"W",-94.16802825,"T",1232.6,"GS",3.5,331.1
"2026/02/19","00975.01","A","AR","XNA","FAYETTEVILLE/SPRINGDALE/ROGERS","US","16L","XNA","LD","OPERATIONAL IFR","1998/08/13",36,17,23.61,"N",36.28989166,94,18,41.8,"W",-94.31161111,"T",1278.8,"GS",3,332.75
"2026/02/19","00975.01","A","AR","XNA","FAYETTEVILLE/SPRINGDALE/ROGERS","US","34R","FBS","LD","OPERATIONAL IFR","1998/08/13",36,16,22.41,"N",36.27289166,94,18,13.89,"W",-94.30385833,"T",1262.2,"GS",3,332.75
"2026/02/19","00987.","A","AR","FSM","FORT SMITH","US","08","GKV","LS","OPERATIONAL IFR","1980/01/01",35,19,59.4916,"N",35.33319211,94,22,37.3303,"W",-94.37703619,"T",458.2,"GS",3,332.3
"2026/02/19","00987.","A","AR","FSM","FORT SMITH","US","26","FSM","LS","OPERATIONAL IFR","1901/01/01",35,20,9.491,"N",35.33596972,94,21,13.3606,"W",-94.35371127,"T",439.5,"GS",3,332.3
"2026/02/19","01002.","A","AR","HRO","HARRISON","US","36","HRO","LD","OPERATIONAL IFR","1997/12/04",36,15,21.7902,"N",36.25605283,93,9,23.3824,"W",-93.15649511,"K",1344.5,"GS",3,333.5
"2026/02/19","01023.","A","AR","HOT","HOT SPRINGS","US","05","HOT","LD","OPERATIONAL IFR","1972/02/02",34,28,31.37,"N",34.47538055,93,6,15.1546,"W",-93.10420961,"T",502.3,"GS",3,332.9
"2026/02/19","01028.21","A","AR","LRF","JACKSONVILLE","US","25","TYV","LS","OPERATIONAL RESTRICTED","2025/07/16",34,55,12.52,"N",34.92014444,92,7,49,"W",-92.13027777,"M",286.1,"GS",3,333.8
"2026/02/19","01035.","A","AR","JBR","JONESBORO","US","23","JBR","LS","OPERATIONAL IFR","1993/12/09",35,50,13.5574,"N",35.83709927,90,38,12.8405,"W",-90.63690013,"T",255.1,"GS",3,334.25
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","04L","LIT","LD","OPERATIONAL IFR","1901/01/01",34,43,32.8968,"N",34.72580466,92,14,9.5876,"W",-92.23599655,"T",253,"GS",3,335
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","04R","CNL","LD","OPERATIONAL IFR","1995/04/27",34,43,20.8021,"N",34.72244502,92,12,55.1931,"W",-92.21533141,"T",252.1,"GS",3,332.3
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","22L","BWY","LD","OPERATIONAL IFR","1991/07/25",34,44,1.4484,"N",34.73373566,92,12,15.3667,"W",-92.20426852,"T",255.9,"GS",3,330.2
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","22R","AAY","LD","OPERATIONAL IFR","1976/09/09",34,44,12.0546,"N",34.73668183,92,13,18.712,"W",-92.22186444,"T",252.6,"GS",3,335
"2026/02/19","01081.","A","AR","MEZ","MENA","US","27","VMU","LD","OPERATIONAL IFR","2005/07/07",34,32,28.9893,"N",34.54138591,94,11,29.4281,"W",-94.1915078,"T",1047.9,"GS",3,330.5
"2026/02/19","01104.4","A","AR","BPK","MOUNTAIN HOME","US","05","BPK","LD","OPERATIONAL RESTRICTED","2018/02/08",36,21,59.5876,"N",36.36655211,92,28,29.5958,"W",-92.47488772,"T",919.6,"GS",3,330.95
"2026/02/19","01142.","A","AR","PBF","PINE BLUFF","US","18","PBF","LS","OPERATIONAL IFR","1980/08/07",34,10,48.053,"N",34.18001472,91,56,3.963,"W",-91.93443416,"G",204.8,"GS",3,333.5
"2026/02/19","01156.","A","AR","ROG","ROGERS","US","20","ROG","LD","OPERATIONAL RESTRICTED","2001/02/07",36,22,39.758,"N",36.37771055,94,6,18.861,"W",-94.10523916,"F",1342,"GS",3,332.9
"2026/02/19","01165.","A","AR","SRC","SEARCY","US","01","DSY","LD","OPERATIONAL IFR","2003/12/25",35,12,20.7,"N",35.20575,91,44,25.18,"W",-91.74032777,"F",231.7,"GS",3,334.4
"2026/02/19","01176.","A","AR","ASG","SPRINGDALE","US","18","ASG","LS","OPERATIONAL IFR","1985/03/14",36,10,49.0713,"N",36.18029758,94,7,3.0997,"W",-94.11752769,"Z",1335.4,"GS",3,330.8
"2026/02/19","01186.","A","AR","SGT","STUTTGART","US","36","TTL","LD","OPERATIONAL IFR","2005/10/27",34,35,25.2742,"N",34.59035394,91,34,36.6889,"W",-91.57685802,"Z",219.7,"GS",3,329.45
"2026/02/19","01188.","A","AR","TXK","TEXARKANA","US","22","TXK","LD","OPERATIONAL IFR","1971/02/04",33,27,22.3149,"N",33.45619858,93,59,15.5314,"W",-93.98764761,"T",379.1,"GS",2.75,331.1
"2026/02/19","01206.2","A","AR","AWM","WEST MEMPHIS","US","17","LWR","LD","OPERATIONAL IFR","1993/01/07",35,8,26.2962,"N",35.14063783,90,14,9.1907,"W",-90.2358863,"T",209.2,"GS",3,330.2
"2026/02/19","01255.1","A","CA","ACV","ARCATA/EUREKA","US","32","ACV","LD","OPERATIONAL IFR","1980/03/31",40,58,26.4429,"N",40.97401191,124,6,13.7966,"W",-124.10383238,"T",215.4,"GS",3,332.6
"2026/02/19","01291.","A","CA","BFL","BAKERSFIELD","US","30R","BFL","LD","OPERATIONAL IFR","1901/01/01",35,25,58.2982,"N",35.43286061,119,3,24.7202,"W",-119.05686672,"T",479.2,"GS",3,331.1
"2026/02/19","01353.","A","CA","BUR","BURBANK","US","08","BUR","LS","OPERATIONAL IFR","1901/01/01",34,11,55.2723,"N",34.19868675,118,21,54.2595,"W",-118.36507208,"T",725.2,"GS",3,332.6
"2026/02/19","01376.1","A","CA","CRQ","CARLSBAD","US","24","CRQ","LD","OPERATIONAL IFR","1977/05/19",33,7,48.1196,"N",33.13003322,117,16,33.1273,"W",-117.27586869,"T",315,"GS",3.2,330.5
"2026/02/19","01395.","A","CA","CIC","CHICO","US","13L","CIC","LD","OPERATIONAL IFR","1976/07/15",39,48,1.16,"N",39.80032222,121,51,47.018,"W",-121.86306055,"T",233.2,"GS",3,332.3
"2026/02/19","01398.","A","CA","CNO","CHINO","US","26R","CNO","LS","OPERATIONAL IFR","1980/11/27",33,58,29.4892,"N",33.97485811,117,38,2.826,"W",-117.63411833,"K",631,"GS",3,332.9
"2026/02/19","01464.","A","CA","CEC","CRESCENT CITY","US","12","CEC","LS","OPERATIONAL IFR","1973/03/29",41,47,1.3881,"N",41.78371891,124,14,17.2603,"W",-124.23812786,"T",58.2,"GS",3,330.5
"2026/02/19","01526.8","A","CA","EDW","EDWARDS","US","23L","EDW","LG","OPERATIONAL IFR","1901/01/01",34,54,47.49,"N",34.91319166,117,51,54.62,"W",-117.86517222,"A",2275.7,"GS",2.5,334.4
"2026/02/19","01565.1","A","CA","SUU","FAIRFIELD","US","03L","TXV","LG","OPERATIONAL IFR","2003/09/12",38,14,40.7505,"N",38.24465291,121,57,9.0164,"W",-121.95250455,"M",28,"GS",2.5,333.95
"2026/02/19","01565.1","A","CA","SUU","FAIRFIELD","US","21L","SUU","LS","OPERATIONAL IFR","2014/08/27",38,16,50.066,"N",38.28057388,121,54,9.1186,"W",-121.90253294,"M",47.4,"GS",2.8,334.4
"2026/02/19","01591.","A","CA","FAT","FRESNO","US","29R","FAT","LD","OPERATIONAL IFR","1901/01/01",36,46,18.84,"N",36.7719,119,42,23.4799,"W",-119.70652219,"T",332,"GS",3,332.3
"2026/02/19","01757.","A","CA","POC","LA VERNE","US","26L","POC","LS","OPERATIONAL IFR","1984/09/29",34,5,33.9146,"N",34.09275405,117,46,39.9463,"W",-117.77776286,"T",1004,"GS",3.92,329.6
"2026/02/19","01772.","A","CA","LHM","LINCOLN","US","15","LHM","LD","OPERATIONAL IFR","1996/10/10",38,54,54.3371,"N",38.91509363,121,21,7.407,"W",-121.3520575,"T",120.2,"GS",3,330.35
"2026/02/19","01779.2","A","CA","LVK","LIVERMORE","US","25R","LVK","LD","OPERATIONAL IFR","1980/12/25",37,41,35.04,"N",37.69306666,121,48,52.84,"W",-121.81467777,"Z",393.3,"GS",3,329.6
"2026/02/19","01788.1","A","CA","VBG","LOMPOC","US","12","BVD","LS","OPERATIONAL IFR","1901/01/01",34,44,58.7864,"N",34.74966288,120,36,2.739,"W",-120.60076083,"A",246.3,"GS",3,334.4
"2026/02/19","01788.1","A","CA","VBG","LOMPOC","US","30","VBG","LS","OPERATIONAL IFR","1901/01/01",34,43,26.7126,"N",34.72408683,120,34,16.9991,"W",-120.57138863,"M",352.1,"GS",3,334.4
"2026/02/19","01794.","A","CA","LGB","LONG BEACH","US","30","LGB","LS","OPERATIONAL IFR","1983/02/17",33,48,44.4071,"N",33.8123353,118,8,45.496,"W",-118.14597111,"T",32.1,"GS",3,335
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","06L","UWU","LD","OPERATIONAL IFR","1977/08/25",33,56,54.5859,"N",33.94849608,118,25,39.8249,"W",-118.42772913,"T",110.5,"GS",3,329.9
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","06R","GPE","LD","OPERATIONAL IFR","1973/04/29",33,56,53.3646,"N",33.94815683,118,25,47.3623,"W",-118.42982286,"FS",108,"GS",3,333.5
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","07L","IAS","LD","OPERATIONAL IFR","1970/05/13",33,56,7.743,"N",33.93548416,118,24,56.7237,"W",-118.41575658,"T",119.8,"GS",3,331.7
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","07R","MKZ","LD","OPERATIONAL IFR","1979/05/17",33,55,59.9253,"N",33.93331258,118,24,55.0492,"W",-118.41529144,"FS",118.2,"GS",3,333.8
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","24L","HQB","LD","OPERATIONAL IFR","1968/04/24",33,57,2.31,"N",33.95064166,118,24,18.51,"W",-118.40514166,"T",116.7,"GS",3,333.5
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","24R","OSS","LD","OPERATIONAL IFR","1975/03/09",33,57,2.4082,"N",33.95066894,118,24,18.522,"W",-118.405145,"T",116.7,"GS",3,329.9
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","25L","LAX","LD","OPERATIONAL IFR","1901/01/01",33,56,17.7739,"N",33.93827052,118,23,10.2139,"W",-118.38617052,"T",97.3,"GS",3,333.8
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","25R","CFN","LD","OPERATIONAL IFR","1901/01/01",33,56,17.8773,"N",33.93829925,118,23,10.1796,"W",-118.386161,"T",97.5,"GS",3,331.7
"2026/02/19","01873.","A","CA","MYV","MARYSVILLE","US","14","MYV","LS","OPERATIONAL IFR","1980/12/25",39,6,7.5444,"N",39.10209566,121,34,27.7776,"W",-121.57438266,"T",58.9,"GS",3,329.6
"2026/02/19","01873.3","A","CA","BAB","MARYSVILLE","US","15","BAB","LG","OPERATIONAL IFR","1901/01/01",39,8,53.3919,"N",39.14816441,121,26,37.4214,"W",-121.44372816,"M",102.7,"GS",2.75,332.6
"2026/02/19","01873.3","A","CA","BAB","MARYSVILLE","US","33","MIZ","LG","OPERATIONAL IFR","2003/09/17",39,7,25.6328,"N",39.12378688,121,25,45.8047,"W",-121.42939019,"M",97.9,"GS",3,332.6
"2026/02/19","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","OPERATIONAL IFR","1973/06/14",37,16,48.2892,"N",37.28008033,120,30,37.3199,"W",-120.51036663,"K",152.8,"GS",3,332
"2026/02/19","01886.3","A","CA","MER","ATWATER","US","31","MER","LG","OPERATIONAL IFR","1901/01/01",37,22,15.5492,"N",37.37098588,120,33,22.8582,"W",-120.5563495,"T",174.7,"GS",3,332.6
"2026/02/19","01896.","A","CA","MOD","MODESTO","US","28R","MOD","LS","OPERATIONAL RESTRICTED","1973/04/06",37,37,23.282,"N",37.62313388,120,56,42.2687,"W",-120.94507463,"T",84.1,"GS",3,331.1
"2026/02/19","01914.","A","CA","MRY","MONTEREY","US","10R","MRY","LD","OPERATIONAL IFR","2015/12/10",36,35,26.1073,"N",36.59058536,121,51,9.714,"W",-121.85269833,"FS",163.7,"GS",3,330.2
"2026/02/19","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","32R","NUQ","LD","OPERATIONAL IFR","2003/09/17",37,24,33.8867,"N",37.40941297,122,2,35.0327,"W",-122.04306463,"T",23,"GS",3,334.85
"2026/02/19","01933.","A","CA","APC","NAPA","US","01L","APC","LD","OPERATIONAL RESTRICTED","2018/01/19",38,12,38.335,"N",38.21064861,122,17,4.3744,"W",-122.28454844,"T",11.7,"GD",3,332.3
"2026/02/19","01971.","A","CA","OAK","OAKLAND","US","12","AAZ","LS","OPERATIONAL IFR","1981/01/22",37,43,2.9271,"N",37.71747975,122,14,22.8372,"W",-122.239677,"T",3.2,"GS",2.75,331.1
"2026/02/19","01971.","A","CA","OAK","OAKLAND","US","28R","OAK","LS","OPERATIONAL IFR","1901/01/01",37,43,28.5969,"N",37.72461025,122,12,30.6109,"W",-122.20850302,"T",3.5,"GS",3,333.8
"2026/02/19","01971.","A","CA","OAK","OAKLAND","US","30","INB","LD","OPERATIONAL IFR","1975/01/30",37,42,9.7498,"N",37.70270827,122,13,5.6377,"W",-122.21823269,"T",4.1,"GS",3,330.5
"2026/02/19","01986.","A","CA","ONT","ONTARIO","US","08L","AOD","LS","OPERATIONAL IFR","1977/08/11",34,3,21.2425,"N",34.05590069,117,36,59.9428,"W",-117.61665077,"T",935.9,"GS",3,333.2
"2026/02/19","01986.","A","CA","ONT","ONTARIO","US","26L","TWO","LD","OPERATIONAL IFR","1982/06/25",34,3,21.9048,"N",34.05608466,117,35,11.0216,"W",-117.58639488,"T",925.2,"GS",3,332.15
"2026/02/19","01986.","A","CA","ONT","ONTARIO","US","26R","ONT","LD","OPERATIONAL IFR","1987/07/02",34,3,22.0256,"N",34.05611822,117,35,11.0293,"W",-117.58639702,"T",925.2,"GS",3,333.2
"2026/02/19","02001.","A","CA","OXR","OXNARD","US","25","OXR","LS","OPERATIONAL RESTRICTED","2021/06/14",34,12,0.2054,"N",34.20005705,119,12,9.9725,"W",-119.20277013,"T",40.6,"GS",3,330.5
"2026/02/19","02013.","A","CA","PMD","PALMDALE","US","25","PMD","LS","OPERATIONAL IFR","1971/11/15",34,38,1.256,"N",34.63368222,118,4,40.078,"W",-118.07779944,"G",2491.8,"GS",3,330.2
"2026/02/19","02057.","A","CA","NTD","OXNARD","US","03","NTD","LD","OPERATIONAL IFR","2025/05/15",34,6,34.6348,"N",34.10962077,119,7,54.412,"W",-119.13178111,"N",6.4,"GD",3,332
"2026/02/19","02057.","A","CA","NTD","OXNARD","US","21","RRG","LD","OPERATIONAL RESTRICTED","2025/09/05",34,7,41.3835,"N",34.12816208,119,6,37.3996,"W",-119.11038877,"N",9.3,"GD",3,332
"2026/02/19","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","OPERATIONAL IFR","1972/11/23",40,30,13.8691,"N",40.50385252,122,17,36.3952,"W",-122.29344311,"T",491.6,"GS",3,330.5
"2026/02/19","02112.","A","CA","RAL","RIVERSIDE","US","09","RAL","LS","OPERATIONAL IFR","1976/06/17",33,57,15.3205,"N",33.95425569,117,26,58.1955,"W",-117.44949875,"K",760.5,"GS",3,330.8
"2026/02/19","02115.","A","CA","RIV","RIVERSIDE","US","32","RIV","LS","OPERATIONAL IFR","1901/01/01",33,51,58.77,"N",33.866325,117,15,2.72,"W",-117.25075555,"A",1484.4,"GS",3,334.4
"2026/02/19","02124.2","A","CA","SMF","SACRAMENTO","US","17L","MDK","LD","OPERATIONAL IFR","1995/09/14",38,42,15.18,"N",38.70421666,121,34,43.22,"W",-121.57867222,"T",21.7,"GS",3,333.35
"2026/02/19","02124.2","A","CA","SMF","SACRAMENTO","US","17R","SMF","LD","OPERATIONAL IFR","1967/10/28",38,42,15.8608,"N",38.70440577,121,36,9.106,"W",-121.60252944,"T",22.9,"GS",3,331.7
